"krs","m.0","m.1","m.2","m.3","m.4","m.5","w.0","w.1","w.2","w.3","w.4","w.5"
5915,4324,8764,22319,30938,16488,5191,4283,8223,20513,30580,19657,7831
5916,3700,6912,19048,27732,14674,4583,3486,6486,17685,26724,17886,7458
5954,7377,13785,35303,56620,33472,10933,6896,13048,33123,57913,39446,16380
5958,5713,12009,31094,46527,26343,8261,5588,11275,26622,45602,29055,12386
5962,9638,19365,47714,72401,40527,13172,9143,18156,42984,73171,46468,19381
5966,3272,6600,16080,24864,12974,3820,3031,5946,14509,24082,13918,5679
5970,6678,12570,35473,47913,27168,8556,6277,11672,32192,46535,30701,12475
5974,7183,14590,36000,53899,29253,9097,6727,13475,31196,53779,33135,13568
5978,9064,17808,43900,68975,40217,12340,8637,16756,40293,70590,47259,18943
6411,3990,7098,28794,25554,11882,3899,3883,6649,22798,24662,14227,5771
6412,21068,34747,104144,142265,53539,15908,20253,33482,106873,135272,61940,23565
6413,3722,6546,17616,23170,9714,2931,3676,6302,17541,22028,11264,4234
6414,7616,13740,32929,47327,23291,8040,7398,13006,34089,50646,28428,11832
6431,6187,12178,30200,48509,27727,8517,6089,11436,27010,49126,30844,11871
6432,7339,14146,34660,53975,28831,8835,7060,13463,31030,54343,32028,11689
6433,7528,13471,34173,50573,23840,7740,7038,12907,31328,48491,26998,10439
6434,5693,12399,24072,42322,22218,8174,5390,11683,22119,44931,26190,11373
6435,10182,19561,47966,75156,40771,12919,9600,18493,44343,75585,46576,17798
6436,6063,12456,25266,43641,21204,7702,5782,11614,23726,44929,24993,10359
6437,2174,4198,10749,16852,10676,3226,1953,4117,9743,17022,11569,4519
6438,9171,17466,40433,63502,32874,10971,8621,16212,37633,64084,38093,15032
6439,4232,8682,20064,33536,19176,6272,3938,8164,18253,34670,21724,8446
6440,7188,14530,35245,55328,29766,9219,6930,13775,31980,56438,33012,13049
6531,6429,11559,38866,43807,24065,7409,6016,11077,38170,43941,27180,10357
6532,5924,11881,29433,44530,25356,7966,5673,11063,26869,44804,28679,11599
6533,3927,8075,20165,30854,17377,5173,3722,7578,18035,30691,19093,7393
6534,5481,11078,34521,41120,22340,6874,5282,10515,33712,40912,24854,9959
6535,2137,4515,11423,18847,12358,3712,2048,4269,9777,18585,12934,5273
6611,5051,8843,30925,32025,16827,5336,4785,8124,28143,32615,20426,8485
6631,5387,10423,27907,38725,21169,6981,5111,9970,25267,38224,23413,10007
6632,2759,5521,13577,21257,13134,4275,2528,5178,11779,20522,14343,5956
6633,5265,10361,24671,41200,26051,8574,4938,9796,22467,42152,29236,11922
6634,3832,8054,20277,32651,19460,5907,3735,7502,17453,31673,21120,8558
6635,3515,7176,18002,27684,16574,5247,3323,6703,15362,27502,18275,7590
6636,2137,4148,11160,17150,11609,3761,1925,4024,9754,17205,12787,5357
7111,2646,4591,16568,18171,10117,3535,2508,4292,15967,17819,12277,5533
7131,2935,5441,14247,22219,14175,4738,2763,5210,12898,22751,15682,6668
7132,3001,5957,14748,22850,13256,4047,2780,5661,13252,22507,14725,5921
7133,3630,7204,17162,27246,16743,5200,3549,6723,16078,28129,19037,7379
7134,1755,3406,9232,13745,9061,2822,1661,3264,7934,13818,10013,4009
7135,1279,2637,6869,10889,7024,2143,1200,2404,5937,10663,7381,3161
7137,5085,9640,24294,37987,22097,6643,4880,9237,22266,38344,24371,9415
7138,4363,8579,20485,31553,18708,5800,4111,8104,18975,32126,20787,8350
7140,2340,4585,11536,18229,11239,3277,2202,4303,10192,18361,11932,4741
7141,2722,5394,13287,21712,13326,4084,2682,5131,12029,21678,14676,5587
7143,4757,9514,22964,36866,20177,5940,4462,8959,20983,36374,22059,8542
7211,2527,4393,18268,18090,8536,2630,2245,3974,17844,17321,10363,4445
7231,2647,5014,12349,20265,12230,3619,2444,4769,11132,19660,12912,5221
7232,2448,4725,11652,17900,10008,2843,2297,4276,10430,17298,10483,4201
7233,1263,2598,6785,10508,7088,2185,1199,2449,5844,10434,7310,2940
7235,3512,7186,16062,27689,14933,4291,3393,6849,15107,27543,16055,6325
7311,1266,2289,5655,8149,4492,1638,1213,2120,5434,8205,5602,2498
7312,2302,4046,16862,15546,8770,2827,2188,3733,12986,15566,10729,4290
7313,1082,1883,6365,7569,3948,1231,954,1893,7449,7644,4718,1941
7314,4865,8682,22770,30720,14086,4697,4663,8071,20700,28489,16431,6887
