"krs","m.0","m.1","m.2","m.3","m.4","m.5","w.0","w.1","w.2","w.3","w.4","w.5"
9188,3196,7094,14179,23808,12735,5008,3074,6710,13188,25415,15232,6453
9189,4082,7913,20992,30955,17720,5902,3929,7716,18728,30887,20083,8182
9190,3320,6522,15837,23843,13352,4447,3189,6176,14167,24151,14538,5806
9261,1690,3101,9803,12684,6053,2072,1643,2968,9079,12448,7695,3168
9262,994,1811,8496,7934,4598,1511,996,1790,8206,7869,5819,2445
9263,1030,1945,6504,8802,4500,1336,980,1788,5394,8031,5350,2134
9271,2637,5252,15145,21737,11557,3219,2502,5062,13264,21208,12958,4785
9272,1657,3233,9152,14192,8689,2180,1653,3033,8232,14020,9022,3292
9273,3080,6018,15739,23030,11091,3179,2900,5705,13612,21543,11936,4425
9274,4038,7940,19199,30562,14656,4124,3830,7443,16830,28984,15511,5581
9275,4153,8541,22097,34985,19986,5709,4000,7966,20044,34049,22200,8313
9276,1704,3358,9291,13811,8399,2182,1619,3074,8026,13652,9091,3449
9277,2789,5454,14620,21824,11996,3663,2575,5180,13036,20989,13268,5265
9278,2442,4699,12123,18929,9779,2655,2263,4631,10629,18256,10418,3825
9279,2299,4376,12673,18413,9112,2577,2175,4110,10576,16729,9614,3563
9361,866,1791,5344,7194,4179,1299,888,1609,4516,6996,5073,2215
9362,3581,5986,24996,25131,10956,3575,3381,5712,24975,24906,13657,5754
9363,911,1688,5381,7126,4098,1338,897,1642,4859,7344,5068,2168
9371,2270,4531,12133,19033,10593,3105,2203,4251,10808,18430,11277,4475
9372,2948,5611,15144,23528,13357,3660,2733,5369,13676,22490,13997,5369
9373,3311,6222,16731,25205,12514,3516,3116,5934,14649,23903,13317,5143
9374,2109,4151,11000,17298,9716,2669,2046,3923,10149,17003,10312,3976
9375,4794,9344,22645,36547,18666,5085,4632,8738,20322,35850,19997,6952
9376,3382,6464,17980,27557,14500,4081,3188,6192,15872,26106,15651,6216
9377,1552,3019,8355,13154,7741,2300,1494,2913,7349,12715,8431,3481
9461,1910,2983,12017,12375,6118,2061,1777,2865,12043,12386,7648,3409
9462,1448,2628,12433,11276,6515,2169,1359,2521,11273,11309,8213,3513
9463,851,1598,5592,6719,4016,1386,827,1549,4781,6844,4935,2151
9464,1120,1887,5681,7474,4505,1431,1066,1894,5135,7533,5750,2454
9471,3580,6869,17335,27928,14218,3795,3552,6549,15673,27246,14882,5459
9472,2229,4612,11024,19285,10959,3201,2101,4395,10217,19009,11857,4767
9473,1922,3763,9448,15696,9252,2831,1855,3514,8552,15628,10278,4167
9474,2765,5287,13354,21495,11513,3289,2700,5217,12189,21258,12409,4623
9475,1816,3811,9811,16953,10761,3494,1804,3677,8855,16886,12108,5335
9476,1212,2593,7085,12554,7519,2221,1190,2559,6321,12163,8213,3505
9477,1374,2933,7785,13061,7919,2273,1320,2771,6768,13066,8958,3617
9478,1447,2779,7458,12196,7002,2145,1371,2774,6715,12062,7739,3150
9479,1511,2918,7665,12660,8333,2631,1395,2759,6815,12673,9596,4222
9561,1043,1850,5208,6959,3739,1249,1036,1809,5028,7281,4697,1948
9562,2785,4904,18413,18488,8351,2923,2667,4537,16711,17938,9891,4354
9563,3333,5635,16525,23403,10611,3096,3185,5102,15469,23828,12673,4888
9564,13197,22581,69986,89250,43204,14589,12442,21355,67425,88528,53091,22717
9565,1013,1917,4543,7358,3803,1261,983,1837,4328,7361,4511,1877
9571,4481,8773,22471,33620,17939,5166,4286,8167,19886,32517,19068,7575
9572,3547,6763,14846,25059,13549,3999,3317,6356,13955,25056,14625,5199
9573,2880,5291,12027,21046,12027,3793,2777,5092,11623,21825,13574,5432
9574,4003,7919,18386,30991,17164,5483,3878,7202,17109,31264,19265,7701
9575,2406,4634,11937,18282,10177,2895,2290,4337,10596,17824,10815,4171
9576,3191,5798,14604,23369,12478,3766,2918,5504,13333,23064,13646,5287
9577,2228,4383,11149,16910,9536,2887,2186,4040,10017,16262,10550,4245
9661,1691,3091,8899,12287,6341,2007,1598,2955,8292,12490,7779,3097
9662,1384,2413,7378,8489,5051,1838,1283,2291,6142,8457,6391,2915
9663,2681,4190,21623,19095,9959,3603,2664,4017,22380,18669,12976,6023
9671,4056,7851,19494,31754,17933,5482,3777,7479,17776,32209,19099,7298
9672,2222,4272,11100,18111,11515,3645,2108,4249,10183,17917,12611,5285
9673,1806,3605,9117,14013,8600,2536,1732,3456,8252,14043,8963,3567
9674,2003,3854,9808,15487,8923,2393,1893,3577,8846,15148,9232,3435
9675,2224,4003,11102,16632,9189,2641,2004,3874,9768,16208,9542,3722
9676,2993,5863,14815,23540,12970,4009,2808,5548,13339,23461,13997,5413
9677,2769,5289,14145,22813,13840,4097,2662,5166,12538,22550,14689,5807
9678,2790,5275,13178,20792,12047,3686,2536,4796,12073,20223,12778,4932
9679,3983,7438,18451,29012,16757,4953,3760,7021,16860,29152,18016,6431
9761,7168,12252,43328,50554,23749,8107,6919,11558,41108,48333,29500,12559
9762,1084,1953,5362,7481,4249,1481,1004,1902,4837,7333,5014,2193
9763,1676,2936,9616,11371,6256,2286,1591,2684,8552,11083,7634,3222
9764,1060,1930,5530,7780,4031,1379,1057,1939,4930,7315,4839,2047
9771,3545,6513,15465,24923,12328,3877,3401,6268,14237,24313,13515,5211
9772,6503,12207,28896,45978,23792,7431,6253,11486,26625,45493,26566,10304
9773,2323,4552,11785,17459,9265,2751,2182,4326,10536,16851,10109,3882
9774,3142,5991,16028,23108,11814,3493,2906,5595,13900,22324,12561,4885
9775,4309,8083,21812,31195,15952,5119,4107,7918,19993,30528,18005,7179
9776,1900,3699,9466,14445,7933,2842,1819,3481,8530,14737,8923,3894
9777,3600,6673,16652,24905,13773,4365,3434,6549,15027,24773,14792,5773
9778,3578,6769,17734,26273,13793,4461,3493,6408,15496,24786,15075,6175
9779,3264,6411,16889,24808,12610,3839,2993,6102,14464,23260,13494,5362
9780,3773,6927,17712,27222,15641,5302,3562,6530,16148,27947,17551,7047
10041,7383,13720,41283,55455,33901,10261,6817,12621,37930,55112,39350,15875
10042,2099,4606,11231,18721,11244,3207,1935,4107,10244,18743,12336,4893
10043,2799,5318,14385,23174,14776,4463,2566,5035,13065,23143,16621,6861
10044,4103,8145,21657,33567,21680,6398,4054,7670,19497,34268,24365,9797
10045,2895,5849,15287,24239,16009,5106,2733,5500,14244,24925,18242,7602
10046,1589,3411,9216,15559,10337,3086,1567,3353,8255,15648,11017,4359
11000,98330,164827,484613,647312,297912,99807,93198,155813,477479,624365,353713,147457
12051,1503,2863,7699,12527,7896,3129,1557,2760,6536,11483,9521,4650
12052,2238,4081,11953,16745,10454,3730,2097,3917,10175,16128,12948,5753
12053,1220,2397,6175,9594,6502,2135,1093,2283,5882,9483,7703,3406
12054,5052,8924,21708,30989,14347,5159,4740,8318,22486,30957,17500,7909
12060,4141,8814,16332,34712,20231,6385,3868,8098,15137,33904,22297,8841
12061,3963,7694,15370,32357,18264,6295,3695,7276,14118,31040,20195,8800
12062,1993,4089,8582,19199,12831,4138,1904,3997,7269,17709,14532,6395
12063,3601,7826,15412,31152,16813,5317,3461,7375,13860,30917,18562,7613
12064,4318,9117,16147,38037,22023,6841,4029,8468,15035,36551,23939,9823
12065,4740,10090,19348,40619,22196,7118,4498,9573,17898,40283,24635,10251
12066,2263,4370,9501,20440,13198,4535,2056,4217,8227,18578,15798,7293
12067,3842,7695,15109,32826,21192,7017,3651,7455,13886,31933,23882,10170
12068,2062,4316,8910,18497,11964,3582,1979,3879,7946,17358,13222,5363
12069,4748,10955,18472,41907,23150,7026,4600,10369,17161,41501,24845,9930
12070,1468,2968,7022,13838,9546,3135,1409,2874,5690,12914,10831,4813
12071,2212,4691,8665,21519,14653,4529,2104,4442,7766,20451,16504,6893
12072,3947,7822,16618,32714,17287,5454,3821,7443,14938,30834,19169,8249
12073,2388,5050,10056,21442,15009,4725,2215,4728,9055,20842,16889,7153
13003,4717,8065,29353,33962,19345,7469,4598,7764,26508,30910,24480,11715
13004,2272,4243,10701,15586,9814,3438,2212,4019,10033,15367,12442,5691
13071,5342,11275,23495,46936,31052,9008,5078,10779,21036,45009,35570,14550
13072,4893,10206,18472,41579,24896,7065,4653,9747,16952,38979,27230,10441
13073,4409,9624,20405,41092,26666,8281,4331,9224,18388,39274,30385,12605
13074,3477,7143,15315,29479,17534,4951,3234,6792,13867,27736,19476,7725
13075,4901,10131,23465,41548,27687,8149,4744,9606,22888,39641,31055,12882
13076,4604,9321,19640,41022,24863,6748,4491,8990,17154,38120,27133,10532
14511,5818,10374,29987,39829,26472,9768,5555,9813,24801,36475,33267,15078
14521,6991,15174,28073,58595,43657,12728,6765,14271,25009,55087,50597,20749
14522,6536,13386,28681,54623,36859,12225,6168,12650,23937,50110,42313,18697
14523,4531,9561,19522,39885,28107,9449,4303,8764,17145,37381,34046,15102
14524,6678,13249,28463,55552,38195,12841,6254,12682,25308,51972,45857,20480
14612,15517,26049,79651,90717,45842,18953,14601,24646,69963,83996,56991,27723
14625,6762,13870,25042,55064,35669,12095,6429,13288,22293,51077,40807,18484
14626,5191,10979,21262,44621,31886,10966,5053,10656,19472,41350,36629,16829
14627,5201,11343,20337,44650,27852,9921,5173,10744,18303,41219,32395,15027
14628,5833,11864,20908,44395,28230,9989,5322,11190,19314,41294,32519,14753
14713,16524,25551,85113,97272,46208,17885,15382,24417,85472,88137,58035,27861
14729,5714,11993,21165,48238,29692,9578,5485,11189,19865,45698,34431,14715
14730,4382,8750,17707,37494,22717,7168,4180,8362,15272,34665,25831,11145
15001,1583,3171,7076,13659,10065,3903,1494,2865,6494,13052,12221,5654
15002,6041,10537,31317,37480,22183,8155,5582,10028,30874,35473,28844,12743
15003,5841,10072,32958,38154,22524,8279,5418,9504,27839,36263,28797,13048
15081,1816,3751,7804,16097,9508,2772,1744,3514,6838,14750,10696,4475
15082,3070,6247,14159,29318,19385,6147,2984,6008,12319,27576,22849,9792
15083,3718,7749,15697,33453,19746,5297,3638,7328,13900,31043,21789,8376
15084,3700,7335,16306,33244,21652,7116,3436,6783,13673,30305,25315,11325
15085,4120,8655,19320,38634,26137,8235,3929,8053,16842,36822,30702,12997
15086,1932,3729,7901,17284,10732,3203,1849,3662,6693,15918,12021,5004
15087,2448,5345,11395,24605,17633,5566,2380,5072,9778,23056,20281,8690
15088,3850,8239,16165,35067,21752,6288,3820,7683,14542,32720,24837,9619
15089,3796,7674,17096,34561,22746,7275,3559,7301,15003,32653,27142,11754
15090,2281,4690,10565,20570,13239,3933,2177,4565,9243,19504,15030,6185
15091,2424,5031,10869,22892,15677,5040,2296,4762,9233,21450,18200,7966
16051,5272,9389,26290,36236,20109,6624,5202,9035,26482,34477,24565,10018
16052,2046,3857,8854,15684,11271,3805,1920,3627,8196,14855,13946,6091
16053,2818,4881,17783,17230,9352,3601,2655,4620,16097,15695,11452,5223
16054,638,1220,3156,5723,4657,1566,604,1139,2595,5578,5711,2248
16055,1607,3061,8095,10734,6053,2105,1537,2827,7760,10540,7458,3313
16056,981,1911,4461,7584,4350,1587,885,1663,3890,7074,5417,2567
16061,2480,4840,9824,18558,11395,3267,2422,4676,8843,17048,12272,4755
16062,1823,3638,8474,14645,9716,3181,1684,3414,7427,13934,11171,4715
16063,2702,5457,11114,23176,14752,4324,2507,5001,9851,21555,16151,6435
16064,2359,4780,9735,18885,11803,3557,2226,4502,8614,17657,13267,5527
16065,1531,3180,6721,13675,9384,2783,1361,2920,5762,12756,10689,4247
16066,2541,5099,11708,22615,14718,4505,2454,4710,9684,20942,16566,6805
16067,2949,5886,13262,25209,15425,4737,2888,5674,11619,23325,17434,7044
16068,1631,3180,6236,13311,8257,2147,1417,2956,5559,12352,9274,3335
16069,1309,2687,6020,12175,7490,2085,1278,2546,5142,11092,8337,3392
16070,2421,4631,12030,19384,12318,3849,2233,4363,9310,17953,14309,5941
16071,1890,3914,7128,15496,9714,2503,1814,3874,6736,14610,10521,3747
16072,1046,2185,5087,10434,6828,2093,1004,2050,4416,9631,7951,3471
16073,2147,4157,9164,19308,13341,4271,1985,4008,7779,17898,15351,6947
16074,1789,3636,7373,15629,9954,2979,1746,3453,6579,14476,11162,4275
16075,1684,3493,7137,15012,9897,2896,1622,3197,6237,13869,11197,4627
16076,1898,4064,7701,17869,12773,4021,1792,3736,6682,16775,14567,6281
16077,1701,3501,7200,16250,11613,3873,1633,3485,6452,14890,13611,5909
